Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2019,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,14841,237456,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,15205,226250,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,15578,259529,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,15960,271320,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,16351,300204,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,16753,313616,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.75,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Tobacco Processing & Manufacturing,Yes,Tobacco,17164,345683,High,High,Medium,High,50.0,Medium,2.6666666666666665,Yes,72.63,High,PO Finance + Payables Finance + Receivables Discounting
2016,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1540,10780,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2017,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1583,11081,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2018,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1627,11389,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2019,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1672,13376,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2020,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1719,12789,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2021,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1766,13845,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2022,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1816,14528,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2023,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1866,17130,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2024,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1918,17952,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2025,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1972,20903,High,High,Low,Medium,25.0,Low,2.3333333333333335,Yes,61.12,Medium,PO Finance + Inventory Finance
2016,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,27704,193928,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,70.27,High,PO Finance + Inventory Finance
2017,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,28273,197911,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,70.27,High,PO Finance + Inventory Finance
2018,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,28854,201978,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2019,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,29447,235576,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2020,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,30052,223587,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2021,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,30670,240453,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2022,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,31300,250400,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2023,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,31943,293237,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2024,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,32600,305136,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2025,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,33270,352662,High,High,Medium,High,60.0,Medium,2.6666666666666665,Yes,72.25,High,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,25405,177835,High,High,High,High,65.0,Medium,2.6666666666666665,No,76.33,High,Distributor / Channel Finance
2017,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,25806,180642,High,High,High,High,65.0,Medium,2.6666666666666665,No,76.33,High,Distributor / Channel Finance
2018,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,26213,183491,High,High,High,High,65.0,Medium,2.6666666666666665,No,76.33,High,Distributor / Channel Finance
2019,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,26627,213016,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2020,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,27047,201230,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2021,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,27474,215396,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2022,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,27907,223256,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2023,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,28348,231320,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2024,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,28795,239574,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2025,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,29250,279045,High,High,High,High,65.0,Medium,2.6666666666666665,No,78.32,High,Distributor / Channel Finance
2016,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4299,30093,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2017,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4390,30730,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2018,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4483,31381,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2019,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4577,36616,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2020,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4674,34775,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2021,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4773,37420,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2022,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4874,38992,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2023,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4977,45689,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2024,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,5082,47568,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2025,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,5190,55014,Medium,Medium,Low,Medium,25.0,Low,2.0,Yes,56.35,Medium,PO Finance + Inventory Finance
2016,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,13220,92540,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2017,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,13519,94633,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2018,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,13825,96775,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2019,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,14138,113104,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2020,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,14458,107568,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2021,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,14785,115914,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2022,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,15119,120952,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2023,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,15461,126162,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2024,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,15811,131548,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2025,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,16169,154252,Low,Low,High,High,65.0,Medium,1.6666666666666667,No,62.48,Medium,Distributor / Channel Finance
2016,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,31521,252168,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2017,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,32182,257456,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2018,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,32857,262856,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2019,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,33546,301914,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2020,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,34250,286672,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2021,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,34968,308418,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2022,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,35702,357020,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2023,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,36450,371790,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2024,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,37215,387036,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2025,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,37995,443022,High,High,High,High,75.0,High,2.3333333333333335,No,70.87,High,Distributor / Channel Finance
2016,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,14632,175584,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,66.07,Medium,PO Finance + Inventory Finance
2017,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,14970,179640,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,66.07,Medium,PO Finance + Inventory Finance
2018,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,15316,199108,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,68.05,Medium,PO Finance + Inventory Finance
2019,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,15669,203697,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,68.05,Medium,PO Finance + Inventory Finance
2020,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,16031,193815,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,66.07,Medium,PO Finance + Inventory Finance
2021,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,16401,225022,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,68.05,Medium,PO Finance + Inventory Finance
2022,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,16780,234920,High,High,Medium,High,50.0,Medium,2.6666666666666665,Yes,70.93,High,PO Finance + Inventory Finance
2023,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,17167,262655,High,High,Medium,High,50.0,Medium,2.6666666666666665,Yes,70.93,High,PO Finance + Inventory Finance
2024,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,17563,273983,High,High,Medium,High,50.0,Medium,2.6666666666666665,Yes,70.93,High,PO Finance + Inventory Finance
2025,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,17969,304754,High,High,Medium,High,50.0,Medium,2.6666666666666665,Yes,70.93,High,PO Finance + Inventory Finance
2016,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,21442,150094,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,68.63,Medium,PO Finance + Inventory Finance
2017,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,22018,154126,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,68.63,Medium,PO Finance + Inventory Finance
2018,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,22611,158277,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,68.63,Medium,PO Finance + Inventory Finance
2019,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,23219,185752,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,68.63,Medium,PO Finance + Inventory Finance
2020,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,23844,177399,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,68.63,Medium,PO Finance + Inventory Finance
2021,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,24485,191962,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,68.63,Medium,PO Finance + Inventory Finance
2022,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,25144,201152,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,70.62,High,PO Finance + Inventory Finance
2023,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,25820,237028,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,70.62,High,PO Finance + Inventory Finance
2024,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,26515,248180,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,70.62,High,PO Finance + Inventory Finance
2025,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,27228,288617,High,High,Medium,Medium,50.0,Medium,2.6666666666666665,Yes,70.62,High,PO Finance + Inventory Finance
2016,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,20078,240936,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2017,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,20611,247332,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2018,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,21159,275067,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2019,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,21721,282373,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2020,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,22298,269583,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2021,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,22890,314051,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2022,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,23498,328972,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2023,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,24122,369067,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2024,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,24763,386303,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2025,Punjab,Sheikhupura,Food & Beverage Processing,Food & Beverage Processing,Yes,Rice,25421,431140,High,High,High,High,55.0,Medium,2.6666666666666665,Yes,73.67,High,PO Finance + Inventory Finance
2016,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,22651,294463,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2017,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,23202,301626,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2018,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,23767,332738,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2019,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,24345,340830,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2020,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,24938,324693,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2021,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,25545,375512,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2022,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,26166,392490,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2023,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,26803,437425,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2024,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,27455,456851,High,High,High,High,75.0,High,2.3333333333333335,Yes,71.33,High,Payables Finance
2025,Punjab,Sialkot,Sports Goods,Sports Goods,No,Sports Goods & Surgical Instruments,28123,506776,High,High,High,High,75.0,High,2.3333333333333335,Yes,69.35,Medium,
2016,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1032,6192,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2017,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1071,6426,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2018,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1111,7777,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2019,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1153,8071,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2020,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1196,7786,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2021,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1241,8513,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2022,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1287,10296,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2023,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1335,10894,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2024,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1385,11523,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2025,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1437,13709,High,Medium,Low,Medium,33.33,Low,2.3333333333333335,No,57.47,Medium,Inventory Finance
2016,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,8721,61047,High,High,Medium,High,50.0,Medium,2.0,Yes,65.0,Medium,PO Finance + Inventory Finance
2017,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,8863,62041,High,High,Medium,High,50.0,Medium,2.0,Yes,65.0,Medium,PO Finance + Inventory Finance
2018,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9008,63056,High,High,Medium,High,50.0,Medium,2.0,Yes,65.0,Medium,PO Finance + Inventory Finance
2019,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9156,73248,High,High,Medium,High,50.0,Medium,2.0,Yes,65.0,Medium,PO Finance + Inventory Finance
2020,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9305,69229,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,67.78,Medium,PO Finance + Inventory Finance
2021,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9457,74143,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,67.78,Medium,PO Finance + Inventory Finance
2022,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9612,76896,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,67.78,Medium,PO Finance + Inventory Finance
2023,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9769,89679,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.65,Medium,PO Finance + Inventory Finance
2024,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9929,92935,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.65,Medium,PO Finance + Inventory Finance
2025,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,10091,106965,High,High,Medium,High,50.0,Medium,2.3333333333333335,Yes,69.65,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,13415,120735,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2017,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,13758,123822,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
2018,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,"Hospitality & Tourism, Agriculture",Yes,Horticulture,14110,141100,High,High,Medium,Medium,40.0,Low,2.6666666666666665,No,67.48,Medium,Inventory Finance
