Year,Province,District,Dominant_Industry,Key_Anchor_Sectors,Anchor_firm_presence,Dominant_Value_Chain,Estimated_Number_of_SMEs,Estimated_Number_of_Employees,Production_Volume,Processing_Capacity,"Infrastructure (Roads, Electricity, Internet)",Logistics/Transport_Connectivity,Banking_Penetration (%),Access_to_Credit / Lending,Working_Capital_Gap_Score,Estimated_Production_Volume,Export_Oriented,Supply_Chain_Financing_Opportunity_Score,Opportunity_Level,Recommended_Banking_Product
2021,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,15578,259529,High,High,Medium,High,50.0,Medium,75.0,14300604,Yes,62.78,Medium,PO Finance + Inventory Finance
2022,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,15960,271320,High,High,Medium,High,50.0,Medium,75.0,14651280,Yes,62.78,Medium,PO Finance + Inventory Finance
2023,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,16351,300204,High,High,Medium,High,50.0,Medium,75.0,15893172,Yes,62.78,Medium,PO Finance + Inventory Finance
2024,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,16753,313616,High,High,Medium,High,50.0,Medium,75.0,16283916,Yes,62.78,Medium,PO Finance + Inventory Finance
2025,Khyber Pakhtunkhwa,Mardan,Textile & Apparel,Agriculture & Agribusiness,Yes,Horticulture,17164,345683,High,High,Medium,High,50.0,Medium,83.33,26415396,Yes,64.7,Medium,PO Finance + Inventory Finance
2016,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1540,10780,Low,High,Low,Medium,25.0,Low,66.67,32340,Yes,52.33,Low,PO Finance + Inventory Finance
2017,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1583,11081,Low,High,Low,Medium,25.0,Low,66.67,33243,Yes,52.33,Low,PO Finance + Inventory Finance
2018,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1627,11389,Low,High,Low,Medium,25.0,Low,66.67,34167,Yes,52.33,Low,PO Finance + Inventory Finance
2019,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1672,13376,Low,High,Low,Medium,25.0,Low,66.67,40128,Yes,52.33,Low,PO Finance + Inventory Finance
2020,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1719,12789,Low,High,Low,Medium,25.0,Low,66.67,41256,Yes,52.33,Low,PO Finance + Inventory Finance
2021,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1766,13845,Low,High,Low,Medium,25.0,Low,66.67,42384,Yes,52.33,Low,PO Finance + Inventory Finance
2022,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1816,14528,Low,High,Low,Medium,25.0,Low,66.67,43584,Yes,52.33,Low,PO Finance + Inventory Finance
2023,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1866,17130,Low,High,Low,Medium,25.0,Low,66.67,50382,Yes,52.33,Low,PO Finance + Inventory Finance
2024,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1918,17952,Low,High,Low,Medium,25.0,Low,66.67,51786,Yes,52.33,Low,PO Finance + Inventory Finance
2025,Balochistan,Mastung,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,1972,20903,Low,High,Low,Medium,25.0,Low,66.67,59160,Yes,52.33,Low,PO Finance + Inventory Finance
2016,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,27704,193928,High,High,Medium,High,60.0,Medium,83.33,10472112,Yes,68.4,Medium,PO Finance + Inventory Finance
2017,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,28273,197911,High,High,Medium,High,60.0,Medium,83.33,10687194,Yes,68.4,Medium,PO Finance + Inventory Finance
2018,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,28854,201978,High,High,Medium,High,60.0,Medium,83.33,16360218,Yes,69.82,Medium,PO Finance + Inventory Finance
2019,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,29447,235576,High,High,Medium,High,60.0,Medium,83.33,19081656,Yes,69.82,Medium,PO Finance + Inventory Finance
2020,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,30052,223587,High,High,Medium,High,60.0,Medium,83.33,19473696,Yes,69.82,Medium,PO Finance + Inventory Finance
2021,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,30670,240453,High,High,Medium,High,60.0,Medium,83.33,19874160,Yes,69.82,Medium,PO Finance + Inventory Finance
2022,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,31300,250400,High,High,Medium,High,60.0,Medium,83.33,20282400,Yes,69.82,Medium,PO Finance + Inventory Finance
2023,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,31943,293237,High,High,Medium,High,60.0,Medium,83.33,23286447,Yes,69.82,Medium,PO Finance + Inventory Finance
2024,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,32600,305136,High,High,Medium,High,60.0,Medium,83.33,23765400,Yes,69.82,Medium,PO Finance + Inventory Finance
2025,Punjab,Multan,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,33270,352662,High,High,Medium,High,60.0,Medium,83.33,26948700,Yes,69.82,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,25405,177835,High,High,High,High,65.0,Medium,91.67,9603090,No,74.55,Medium,Distributor / Channel Finance
2017,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,25806,180642,High,High,High,High,65.0,Medium,91.67,9754668,No,74.55,Medium,Distributor / Channel Finance
2018,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,26213,183491,High,High,High,High,65.0,Medium,91.67,9908514,No,74.55,Medium,Distributor / Channel Finance
2019,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,26627,213016,High,High,High,High,65.0,Medium,91.67,17254296,No,75.97,Medium,Distributor / Channel Finance
2020,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,27047,201230,High,High,High,High,65.0,Medium,91.67,17526456,No,75.97,Medium,Distributor / Channel Finance
2021,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,27474,215396,High,High,High,High,65.0,Medium,91.67,17803152,No,75.97,Medium,Distributor / Channel Finance
2022,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,27907,223256,High,High,High,High,65.0,Medium,91.67,18083736,No,75.97,Medium,Distributor / Channel Finance
2023,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,28348,231320,High,High,High,High,65.0,Medium,91.67,18369504,No,75.97,Medium,Distributor / Channel Finance
2024,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,28795,239574,High,High,High,High,65.0,Medium,91.67,18659160,No,75.97,Medium,Distributor / Channel Finance
2025,Khyber Pakhtunkhwa,Peshawar,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,29250,279045,High,High,High,High,65.0,Medium,91.67,21323250,No,75.97,Medium,Distributor / Channel Finance
2016,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4299,30093,Medium,Medium,Low,Medium,25.0,Low,75.0,120372,Yes,52.83,Low,PO Finance + Inventory Finance
2017,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4390,30730,Medium,Medium,Low,Medium,25.0,Low,75.0,122920,Yes,52.83,Low,PO Finance + Inventory Finance
2018,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4483,31381,Medium,Medium,Low,Medium,25.0,Low,75.0,125524,Yes,52.83,Low,PO Finance + Inventory Finance
2019,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4577,36616,Medium,Medium,Low,Medium,25.0,Low,75.0,146464,Yes,52.83,Low,PO Finance + Inventory Finance
2020,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4674,34775,Medium,Medium,Low,Medium,25.0,Low,75.0,149568,Yes,52.83,Low,PO Finance + Inventory Finance
2021,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4773,37420,Medium,Medium,Low,Medium,25.0,Low,75.0,152736,Yes,52.83,Low,PO Finance + Inventory Finance
2022,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4874,38992,Medium,Medium,Low,Medium,25.0,Low,75.0,155968,Yes,52.83,Low,PO Finance + Inventory Finance
2023,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,4977,45689,Medium,Medium,Low,Medium,25.0,Low,75.0,179172,Yes,52.83,Low,PO Finance + Inventory Finance
2024,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,5082,47568,Medium,Medium,Low,Medium,25.0,Low,75.0,182952,Yes,52.83,Low,PO Finance + Inventory Finance
2025,Balochistan,Pishin,Agriculture & Agribusiness,Agriculture & Agribusiness,No,Horticulture,5190,55014,Medium,Medium,Low,Medium,25.0,Low,75.0,207600,Yes,52.83,Low,PO Finance + Inventory Finance
2016,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,13220,92540,High,Low,High,High,65.0,Medium,83.33,1110480,No,68.13,Medium,Distributor / Channel Finance
2017,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,13519,94633,High,Low,High,High,65.0,Medium,83.33,1135596,No,68.13,Medium,Distributor / Channel Finance
2018,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,13825,96775,High,Low,High,High,65.0,Medium,83.33,1161300,No,68.13,Medium,Distributor / Channel Finance
2019,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,14138,113104,High,Low,High,High,65.0,Medium,83.33,1357248,No,68.13,Medium,Distributor / Channel Finance
2020,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,14458,107568,High,Low,High,High,65.0,Medium,83.33,1387968,No,68.13,Medium,Distributor / Channel Finance
2021,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,14785,115914,High,Low,High,High,65.0,Medium,83.33,1419360,No,68.13,Medium,Distributor / Channel Finance
2022,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,15119,120952,High,Low,High,High,65.0,Medium,83.33,1451424,No,68.13,Medium,Distributor / Channel Finance
2023,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,15461,126162,High,Low,High,High,65.0,Medium,83.33,1484256,No,68.13,Medium,Distributor / Channel Finance
2024,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,15811,131548,High,Low,High,High,65.0,Medium,83.33,1517856,No,68.13,Medium,Distributor / Channel Finance
2025,Balochistan,Quetta,Retail & Wholesale Trade,Retail & Wholesale Trade,Yes,Horticulture,16169,154252,High,Low,High,High,65.0,Medium,83.33,1746252,No,68.13,Medium,Distributor / Channel Finance
2016,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,31521,252168,High,High,High,High,75.0,High,66.67,20425608,No,69.08,Medium,Distributor / Channel Finance
2017,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,32182,257456,High,High,High,High,75.0,High,66.67,20853936,No,69.08,Medium,Distributor / Channel Finance
2018,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,32857,262856,High,High,High,High,75.0,High,66.67,21291336,No,69.08,Medium,Distributor / Channel Finance
2019,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,33546,301914,High,High,High,High,75.0,High,66.67,24455034,No,69.08,Medium,Distributor / Channel Finance
2020,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,34250,286672,High,High,High,High,75.0,High,66.67,24968250,No,69.08,Medium,Distributor / Channel Finance
2021,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,34968,308418,High,High,High,High,75.0,High,66.67,25491672,No,69.08,Medium,Distributor / Channel Finance
2022,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,35702,357020,High,High,High,High,75.0,High,66.67,28918620,No,69.08,Medium,Distributor / Channel Finance
2023,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,36450,371790,High,High,High,High,75.0,High,66.67,29524500,No,69.08,Medium,Distributor / Channel Finance
2024,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,37215,387036,High,High,High,High,75.0,High,66.67,30144150,No,69.08,Medium,Distributor / Channel Finance
2025,Punjab,Rawalpindi,Professional Services,Professional Services,Yes,Manufacturing & Trade,37995,443022,High,High,High,High,75.0,High,66.67,33853545,No,69.08,Medium,Distributor / Channel Finance
2016,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,14632,175584,High,High,Medium,High,50.0,Medium,75.0,6321024,Yes,59.67,Low,PO Finance + Inventory Finance
2017,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,14970,179640,High,High,Medium,High,50.0,Medium,75.0,6467040,Yes,59.67,Low,PO Finance + Inventory Finance
2018,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,15316,199108,High,High,Medium,High,50.0,Medium,75.0,10751832,Yes,61.08,Medium,PO Finance + Inventory Finance
2019,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,15669,203697,High,High,Medium,High,50.0,Medium,75.0,10999638,Yes,61.08,Medium,PO Finance + Inventory Finance
2020,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,16031,193815,High,High,Medium,High,50.0,Medium,75.0,7502508,Yes,59.67,Low,PO Finance + Inventory Finance
2021,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,16401,225022,High,High,Medium,High,50.0,Medium,75.0,12399156,Yes,61.08,Medium,PO Finance + Inventory Finance
2022,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,16780,234920,High,High,Medium,High,50.0,Medium,83.33,19028520,Yes,63.0,Medium,PO Finance + Inventory Finance
2023,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,17167,262655,High,High,Medium,High,50.0,Medium,83.33,20857905,Yes,63.0,Medium,PO Finance + Inventory Finance
2024,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,17563,273983,High,High,Medium,High,50.0,Medium,83.33,21339045,Yes,63.0,Medium,PO Finance + Inventory Finance
2025,Punjab,Sahiwal,Food & Beverage Processing,Food & Beverage Processing,Yes,Livestock & Dairy,17969,304754,High,High,Medium,High,50.0,Medium,83.33,23287824,Yes,63.0,Medium,PO Finance + Inventory Finance
2016,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,21442,150094,High,High,Medium,Medium,50.0,Medium,83.33,8105076,Yes,61.83,Medium,PO Finance + Inventory Finance
2017,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,22018,154126,High,High,Medium,Medium,50.0,Medium,83.33,8322804,Yes,61.83,Medium,PO Finance + Inventory Finance
2018,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,22611,158277,High,High,Medium,Medium,50.0,Medium,83.33,8546958,Yes,61.83,Medium,PO Finance + Inventory Finance
2019,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,23219,185752,High,High,Medium,Medium,50.0,Medium,83.33,10030608,Yes,61.83,Medium,PO Finance + Inventory Finance
2020,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,23844,177399,High,High,Medium,Medium,50.0,Medium,83.33,10300608,Yes,61.83,Medium,PO Finance + Inventory Finance
2021,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,24485,191962,High,High,Medium,Medium,50.0,Medium,83.33,10577520,Yes,61.83,Medium,PO Finance + Inventory Finance
2022,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,25144,201152,High,High,Medium,Medium,50.0,Medium,83.33,16293312,Yes,63.25,Medium,PO Finance + Inventory Finance
2023,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,25820,237028,High,High,Medium,Medium,50.0,Medium,83.33,18822780,Yes,63.25,Medium,PO Finance + Inventory Finance
2024,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,26515,248180,High,High,Medium,Medium,50.0,Medium,83.33,19329435,Yes,63.25,Medium,PO Finance + Inventory Finance
2025,Punjab,Sargodha,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Horticulture,27228,288617,High,High,Medium,Medium,50.0,Medium,83.33,22054680,Yes,63.25,Medium,PO Finance + Inventory Finance
2016,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,20078,240936,High,High,High,High,55.0,Medium,75.0,19515816,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2017,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,20611,247332,High,High,High,High,55.0,Medium,75.0,20033892,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2018,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,21159,275067,High,High,High,High,55.0,Medium,75.0,22280427,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2019,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,21721,282373,High,High,High,High,55.0,Medium,75.0,22872213,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2020,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,22298,269583,High,High,High,High,55.0,Medium,75.0,23479794,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2021,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,22890,314051,High,High,High,High,55.0,Medium,75.0,25957260,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2022,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,23498,328972,High,High,High,High,55.0,Medium,75.0,26646732,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2023,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,24122,369067,High,High,High,High,55.0,Medium,75.0,29308230,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2024,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,24763,386303,High,High,High,High,55.0,Medium,75.0,30087045,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2025,Punjab,Sheikhupura,Textile & Apparel,Textile & Apparel,Yes,Horticulture,25421,431140,High,High,High,High,55.0,Medium,75.0,32945616,Yes,70.65,Medium,PO Finance + Payables Finance + Receivables Discounting
2016,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,22651,294463,High,High,High,High,75.0,High,66.67,23851503,Yes,64.55,Medium,Payables Finance
2017,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,23202,301626,High,High,High,High,75.0,High,66.67,24431706,Yes,64.55,Medium,Payables Finance
2018,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,23767,332738,High,High,High,High,75.0,High,66.67,26951778,Yes,64.55,Medium,Payables Finance
2019,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,24345,340830,High,High,High,High,75.0,High,66.67,27607230,Yes,64.55,Medium,Payables Finance
2020,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,24938,324693,High,High,High,High,75.0,High,66.67,28279692,Yes,64.55,Medium,Payables Finance
2021,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,25545,375512,High,High,High,High,75.0,High,66.67,31037175,Yes,64.55,Medium,Payables Finance
2022,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,26166,392490,High,High,High,High,75.0,High,66.67,31791690,Yes,64.55,Medium,Payables Finance
2023,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,26803,437425,High,High,High,High,75.0,High,66.67,34736688,Yes,64.55,Medium,Payables Finance
2024,Punjab,Sialkot,Sports Goods,Sports Goods,Yes,Sports Goods & Surgical Instruments,27455,456851,High,High,High,High,75.0,High,66.67,35581680,Yes,64.55,Medium,Payables Finance
2025,Punjab,Sialkot,Sports Goods,Sports Goods,No,Sports Goods & Surgical Instruments,28123,506776,High,High,High,High,75.0,High,66.67,38725371,Yes,63.13,Medium,
2016,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1032,6192,Low,Medium,Low,Medium,33.33,Low,66.67,12384,No,49.33,Low,Inventory Finance
2017,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1071,6426,Low,Medium,Low,Medium,33.33,Low,66.67,12852,No,49.33,Low,Inventory Finance
2018,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1111,7777,Low,Medium,Low,Medium,33.33,Low,66.67,15554,No,49.33,Low,Inventory Finance
2019,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1153,8071,Low,Medium,Low,Medium,33.33,Low,66.67,16142,No,49.33,Low,Inventory Finance
2020,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1196,7786,Low,Medium,Low,Medium,33.33,Low,66.67,16744,No,49.33,Low,Inventory Finance
2021,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1241,8513,Low,Medium,Low,Medium,33.33,Low,66.67,17374,No,49.33,Low,Inventory Finance
2022,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1287,10296,Low,Medium,Low,Medium,33.33,Low,66.67,20592,No,49.33,Low,Inventory Finance
2023,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1335,10894,Low,Medium,Low,Medium,33.33,Low,66.67,21360,No,49.33,Low,Inventory Finance
2024,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1385,11523,Low,Medium,Low,Medium,33.33,Low,66.67,22160,No,49.33,Low,Inventory Finance
2025,Balochistan,Sibi,Livestock & Dairy,Livestock & Dairy,No,Livestock & Dairy,1437,13709,Low,Medium,Low,Medium,33.33,Low,66.67,25866,No,49.33,Low,Inventory Finance
2016,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,8721,61047,Medium,High,Medium,High,50.0,Medium,58.33,366282,Yes,63.08,Medium,PO Finance + Inventory Finance
2017,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,8863,62041,Medium,High,Medium,High,50.0,Medium,58.33,372246,Yes,63.08,Medium,PO Finance + Inventory Finance
2018,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9008,63056,Medium,High,Medium,High,50.0,Medium,58.33,378336,Yes,63.08,Medium,PO Finance + Inventory Finance
2019,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9156,73248,Medium,High,Medium,High,50.0,Medium,58.33,439488,Yes,63.08,Medium,PO Finance + Inventory Finance
2020,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9305,69229,Medium,High,Medium,High,50.0,Medium,66.67,893280,Yes,65.0,Medium,PO Finance + Inventory Finance
2021,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9457,74143,Medium,High,Medium,High,50.0,Medium,66.67,907872,Yes,65.0,Medium,PO Finance + Inventory Finance
2022,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9612,76896,Medium,High,Medium,High,50.0,Medium,66.67,922752,Yes,65.0,Medium,PO Finance + Inventory Finance
2023,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9769,89679,Medium,High,Medium,High,50.0,Medium,66.67,2110104,Yes,66.42,Medium,PO Finance + Inventory Finance
2024,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,9929,92935,Medium,High,Medium,High,50.0,Medium,66.67,2144664,Yes,66.42,Medium,PO Finance + Inventory Finance
2025,Sindh,Sukkur,Agriculture & Agribusiness,Agriculture & Agribusiness,Yes,Date Palm,10091,106965,Medium,High,Medium,High,50.0,Medium,66.67,2421840,Yes,66.42,Medium,PO Finance + Inventory Finance
2016,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,13415,120735,Medium,High,Medium,Medium,40.0,Low,83.33,2897640,No,58.97,Low,Inventory Finance
2017,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,13758,123822,Medium,High,Medium,Medium,40.0,Low,83.33,2971728,No,58.97,Low,Inventory Finance
2018,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,14110,141100,Medium,High,Medium,Medium,40.0,Low,83.33,3386400,No,58.97,Low,Inventory Finance
2019,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,14471,144710,Medium,High,Medium,Medium,40.0,Low,83.33,3473040,No,58.97,Low,Inventory Finance
2020,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,14841,124219,Medium,High,Medium,Medium,40.0,Low,83.33,3205656,No,58.97,Low,Inventory Finance
2021,Khyber Pakhtunkhwa,Swat,Hospitality & Tourism,Hospitality & Tourism,Yes,Horticulture,15220,149156,Medium,High,Medium,Medium,40.0,Low,83.33,3652800,No,58.97,Low,Inventory Finance
